CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-38,-33,4294816.223,4294811.538,0.117,20.00,20.00,20.00,"[-17,-3,-17,-3,-16,-1,-17,-3,-16,-2,-16,-3,-15,-3,-14,-2,-14,-3,-13,-1,-14,-2,-13,-1,-12,0,-12,0,-11,0,-11,1,-10,1,-9,2,-9,3,-9,3,-9,3,-8,4,-8,4,-8,6,-8,6,-8,7,0,0,-7,8,-8,8,-8,9,-7,9,-7,10,-8,10,-8,11,-8,11,-7,11,-7,12,-7,14,-7,12,-8,13,-9,14,-9,14,-9,15,-9,15,-10,15,-11,14,-11,14,-13,13,-13,12,-13,12,-13,13,-14,11,-14,11,0,0,-12,-17,-12,-16,-13,-15,-13,-17,-12,-16,-11,-15,-11,-15,-10,-14,-10,-13,-11,-12,-11,-13,-11,-11,-11,-11,-11,-9,-11,-9,-12,-8,-11,-7,-12,-7,-12,-5,-12,-6,-12,-6,-12,-5,-12,-5,-12,-3,-13,-4,-13,-3,0,0,-13,-3,-13,-3,-13,-2,-13,-2,-13,-2,-13,-2,-13,-3,-13,-2,-13,-2,-13,-2,-15,-2,-14,-3,-14,-3,-14,-3,-14,-4,-15,-4,-15,-4,-14,-5,-14,-6,-13,-6,-14,-8,-13,-8,-13,-10,-13,-10,-11,-11,-10,-12,0,0]"
CSI_DATA: 2,4,1,1,0,0,0,0,-35,-33,4294818.869,4294814.195,292.273,304.541,304.541,304.541,"[2,-15,1,-15,1,-14,2,-15,1,-14,1,-14,1,-13,1,-12,1,-12,0,-11,1,-12,0,-12,0,-11,-1,-11,0,-10,-1,-11,-1,-10,-1,-9,-2,-9,-1,-9,-1,-9,-2,-9,-1,-8,-3,-8,-3,-8,-3,-8,0,0,-4,-8,-4,-8,-5,-7,-5,-7,-6,-7,-6,-8,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-8,-9,-8,-9,-9,-10,-8,-10,-9,-11,-9,-11,-8,-11,-8,-12,-7,-12,-7,-12,-7,-12,-7,-13,-7,-13,-6,-13,-6,-14,0,0,3,5,4,4,5,3,5,3,5,3,5,2,6,2,6,2,7,2,7,1,8,1,8,0,8,0,8,0,8,0,9,-2,8,-2,8,-2,8,-3,8,-3,9,-3,9,-4,9,-4,8,-6,9,-6,10,-7,0,0,9,-8,10,-9,9,-10,9,-11,9,-10,9,-12,9,-12,9,-13,9,-14,10,-15,10,-17,10,-15,10,-17,10,-18,11,-19,11,-20,11,-22,12,-21,13,-22,14,-21,15,-22,15,-21,18,-22,18,-22,20,-21,21,-20,0,0]"
CSI_DATA: 3,6,1,1,0,0,0,0,-38,-32,58306.269,4294819.373,292.523,356.764,356.764,356.764,"[9,0,9,-1,9,-2,10,-2,9,-3,9,-3,9,-3,8,-4,8,-4,8,-5,9,-5,8,-6,8,-6,8,-6,8,-6,8,-7,6,-6,6,-6,5,-6,5,-6,5,-6,4,-6,4,-6,2,-6,1,-6,1,-6,0,0,-1,-6,-2,-6,-3,-6,-4,-6,-5,-6,-6,-6,-7,-6,-7,-6,-9,-6,-10,-6,-11,-6,-12,-7,-13,-8,-14,-8,-14,-9,-15,-9,-16,-10,-16,-11,-17,-12,-16,-13,-17,-14,-16,-15,-17,-16,-17,-17,-16,-18,-15,-19,0,0,1,-12,0,-11,-1,-11,0,-12,-1,-10,-1,-9,-2,-9,-2,-9,-2,-8,-2,-8,-3,-8,-3,-7,-4,-7,-4,-7,-4,-6,-5,-5,-5,-5,-5,-4,-5,-4,-6,-4,-6,-3,-6,-2,-6,-2,-7,-1,-7,-1,-8,0,0,0,-8,2,-9,1,-9,3,-9,3,-9,3,-10,3,-10,4,-11,5,-11,5,-12,5,-13,6,-13,5,-14,5,-15,5,-15,6,-15,6,-16,6,-16,5,-17,5,-16,4,-18,3,-17,2,-17,2,-18,2,-18,-1,-17,0,0,0]"
CSI_DATA: 4,5,1,1,0,0,0,0,-31,-31,58304.743,4294817.890,292.843,420.283,420.283,420.283,"[-16,-16,-17,-16,-17,-15,-18,-17,-17,-16,-16,-17,-16,-16,-15,-15,-15,-16,-14,-15,-15,-17,-15,-16,-15,-16,-14,-15,-13,-16,-15,-15,-14,-14,-13,-14,-14,-13,-13,-14,-13,-14,-14,-13,-12,-13,-14,-12,-14,-13,-14,-12,0,0,-14,-11,-14,-11,-15,-11,-14,-11,-14,-12,-14,-11,-14,-12,-13,-11,-13,-11,-12,-11,-13,-11,-11,-11,-11,-11,-11,-11,-11,-10,-11,-10,-10,-10,-10,-10,-9,-9,-8,-9,-8,-9,-7,-8,-7,-8,-8,-7,-7,-6,-7,-6,0,0,-6,12,-5,12,-4,13,-5,13,-5,13,-5,13,-4,14,-4,13,-4,14,-4,14,-5,15,-4,16,-4,16,-4,16,-5,15,-3,18,-3,16,-4,16,-3,16,-4,17,-5,17,-4,17,-6,17,-4,17,-5,19,-4,18,0,0,-4,18,-5,19,-5,18,-5,18,-6,17,-6,18,-6,17,-6,17,-6,17,-6,17,-6,17,-6,15,-7,15,-6,15,-6,15,-5,15,-5,15,-5,14,-5,14,-5,13,-5,14,-4,13,-5,13,-4,14,-6,14,-6,13,0,0]"
CSI_DATA: 5,3,2,2,1,1,1,0,-38,-34,586.190,591.488,15.297,762.308,762.308,16.857,"[-14,1,-14,1,-13,3,-14,2,-13,2,-12,2,-12,2,-12,2,-11,2,-10,3,-11,3,-11,4,-10,4,-9,4,-9,4,-9,5,-8,4,-7,4,-7,5,-7,5,-7,5,-6,6,-6,6,-5,7,-6,7,-4,8,0,0,-4,8,-4,8,-4,9,-3,9,-3,9,-3,10,-3,10,-2,11,-2,11,-2,11,-1,13,-2,13,-2,13,-2,14,-2,15,-2,15,-3,16,-3,16,-5,16,-5,16,-7,16,-7,15,-8,15,-8,15,-9,14,-9,13,0,0,15,10,15,10,16,9,16,11,15,9,14,10,14,9,13,8,13,8,12,6,13,7,13,6,13,5,12,5,12,5,13,4,12,2,11,2,12,1,12,2,12,2,12,1,11,1,12,-1,12,0,12,-1,0,0,12,-1,12,-1,12,-1,11,-2,11,-1,11,-1,11,-1,11,-1,11,-1,11,-1,12,-2,11,-1,12,-1,12,-1,12,0,13,0,13,0,13,1,13,2,12,3,13,4,12,5,12,5,12,6,11,8,11,8,0,0]"
CSI_DATA: 6,4,2,2,1,1,1,0,-34,-33,588.849,594.147,307.525,1054.431,1054.431,308.980,"[-5,14,-5,14,-4,13,-6,14,-5,13,-6,13,-5,12,-5,11,-5,11,-4,10,-5,12,-4,11,-4,10,-4,10,-4,10,-3,11,-3,10,-3,9,-2,10,-3,9,-3,9,-2,9,-3,9,-2,9,-2,10,-2,9,0,0,-1,9,-1,8,-1,9,0,8,0,8,0,9,1,8,1,8,1,9,1,9,2,10,1,9,1,10,2,10,2,11,2,11,2,11,2,12,1,12,1,12,1,12,1,12,0,13,0,14,-2,14,-2,14,0,0,-1,-7,-1,-7,-2,-6,-3,-8,-3,-7,-4,-7,-4,-7,-5,-7,-5,-7,-6,-6,-7,-7,-8,-7,-8,-7,-7,-6,-8,-7,-9,-6,-9,-6,-9,-6,-10,-5,-10,-6,-11,-6,-11,-5,-11,-5,-13,-4,-14,-5,-14,-4,0,0,-15,-3,-15,-4,-16,-3,-16,-2,-16,-3,-17,-3,-17,-3,-17,-3,-17,-2,-18,-1,-20,0,-19,-1,-19,0,-21,0,-21,0,-23,1,-23,1,-25,0,-25,-1,-25,-2,-27,-2,-26,-3,-27,-3,-29,-3,-28,-6,-29,-7,0,0]"
CSI_DATA: 7,6,2,2,1,1,1,0,-42,-31,586.659,591.956,307.802,1105.830,1105.830,360.379,"[-4,1,-5,1,-4,1,-6,2,-5,2,-5,3,-5,3,-5,3,-5,3,-4,3,-4,3,-4,3,-5,2,-4,2,-4,2,-4,0,-3,0,-4,-1,-4,-2,-4,-2,-4,-3,-4,-3,-5,-4,-6,-4,-6,-5,-7,-5,0,0,-7,-5,-8,-6,-9,-6,-11,-5,-10,-6,-11,-6,-12,-7,-12,-6,-14,-7,-14,-7,-17,-6,-15,-7,-16,-6,-17,-7,-18,-7,-19,-7,-20,-8,-20,-8,-21,-9,-20,-9,-22,-10,-22,-11,-23,-11,-24,-11,-25,-12,-25,-11,0,0,-10,-10,-10,-9,-10,-8,-10,-9,-10,-8,-10,-7,-10,-6,-9,-5,-9,-5,-9,-4,-10,-4,-9,-3,-9,-3,-9,-2,-9,-2,-9,-1,-8,0,-7,1,-7,1,-8,1,-7,2,-7,3,-6,3,-6,4,-6,5,-5,6,0,0,-5,7,-5,8,-4,9,-4,9,-4,10,-4,11,-4,11,-3,12,-4,13,-3,14,-3,16,-4,15,-4,16,-4,17,-5,17,-5,19,-6,18,-6,19,-8,19,-8,18,-9,18,-10,17,-11,17,-11,18,-12,17,-13,17,0,0]"
CSI_DATA: 8,5,2,2,1,1,1,0,-31,-31,585.255,590.553,308.56,1170.173,1170.173,424.722,"[-18,19,-17,19,-16,20,-19,19,-18,19,-18,17,-18,17,-17,16,-18,16,-17,16,-19,16,-18,16,-18,15,-17,14,-17,12,-17,15,-15,13,-15,13,-14,13,-15,12,-15,11,-14,12,-14,10,-12,12,-14,12,-13,12,0,0,-11,11,-12,11,-11,11,-10,11,-10,10,-10,10,-10,9,-9,9,-9,9,-8,9,-8,9,-8,8,-7,8,-7,8,-6,8,-6,8,-6,7,-5,7,-4,7,-4,6,-4,6,-3,6,-3,6,-2,6,-2,6,-2,6,0,0,-14,4,-14,5,-13,6,-16,6,-15,7,-15,7,-15,7,-15,7,-15,7,-14,8,-17,9,-16,9,-16,9,-16,9,-17,9,-16,10,-16,10,-16,9,-16,11,-17,10,-18,9,-17,11,-17,9,-17,12,-19,12,-18,12,0,0,-18,12,-19,11,-19,12,-18,11,-19,10,-20,10,-19,10,-19,9,-19,10,-18,9,-19,11,-18,9,-18,9,-18,9,-18,9,-18,9,-18,9,-18,9,-18,8,-17,8,-18,8,-17,7,-17,7,-17,8,-18,7,-18,7,0,0]"
CSI_DATA: 9,3,3,3,2,2,2,0,-39,-34,1326.204,1332.93,14.614,1502.902,1502.902,17.449,"[-7,-12,-7,-12,-8,-11,-7,-13,-7,-11,-6,-11,-6,-11,-6,-10,-6,-9,-5,-8,-6,-9,-6,-8,-6,-7,-6,-7,-5,-7,-5,-5,-5,-4,-5,-4,-6,-3,-7,-3,-6,-2,-7,-1,-7,-1,-7,0,-8,0,-8,1,0,0,-9,2,-10,2,-10,2,-10,3,-11,3,-11,3,-11,3,-11,3,-12,4,-12,4,-12,5,-13,4,-13,4,-14,4,-14,4,-15,4,-15,4,-15,4,-15,3,-15,2,-16,2,-16,1,-16,1,-16,1,-16,0,-15,-1,0,0,5,16,6,15,7,14,6,16,6,14,6,14,6,14,5,13,5,13,6,11,6,13,7,12,7,11,6,10,6,10,7,10,7,8,7,8,7,7,7,8,7,8,7,7,7,7,8,6,8,7,8,6,0,0,9,5,8,5,8,5,9,4,8,5,8,5,8,5,8,4,9,4,9,4,9,4,8,4,9,5,9,5,9,5,9,6,9,6,9,7,8,7,8,8,7,8,6,9,6,10,6,10,4,11,3,11,0,0]"
CSI_DATA: 10,4,3,3,2,2,2,0,-35,-32,1328.865,1334.754,306.217,1794.525,1794.525,309.72,"[4,-16,3,-16,2,-15,4,-16,4,-14,4,-14,3,-13,3,-12,3,-12,2,-11,3,-12,2,-12,2,-11,1,-11,2,-11,1,-11,0,-10,1,-10,0,-10,0,-10,0,-10,0,-10,0,-9,-1,-10,-1,-10,-1,-10,0,0,-2,-9,-2,-9,-2,-9,-3,-9,-3,-9,-3,-9,-3,-9,-3,-10,-4,-10,-4,-10,-4,-11,-4,-11,-4,-11,-4,-12,-3,-12,-4,-13,-4,-13,-3,-13,-3,-13,-2,-13,-2,-14,-2,-13,-1,-14,-2,-14,0,-15,0,-15,0,0,2,-7,1,-7,0,-7,-1,-8,-1,-8,-1,-8,-2,-8,-2,-9,-2,-9,-3,-9,-4,-10,-4,-9,-5,-10,-5,-9,-5,-10,-6,-10,-7,-9,-7,-9,-7,-9,-8,-9,-8,-10,-9,-9,-9,-9,-11,-8,-12,-10,-13,-9,0,0,-13,-8,-15,-9,-15,-9,-16,-8,-16,-9,-17,-9,-17,-9,-18,-9,-19,-8,-19,-8,-21,-8,-20,-9,-21,-9,-22,-8,-23,-9,-25,-9,-25,-9,-25,-10,-26,-11,-26,-11,-27,-13,-26,-13,-26,-15,-27,-15,-25,-17,-25,-18,0,0]"
CSI_DATA: 11,6,3,3,2,2,2,0,-39,-30,1326.675,1332.564,306.510,1852.263,1852.263,366.810,"[-17,1,-18,3,-16,4,-17,6,-15,6,-15,7,-14,9,-13,10,-13,11,-11,12,-12,14,-12,15,-11,17,-10,17,-11,18,-9,19,-9,19,-9,19,-8,20,-8,19,-8,19,-7,19,-9,17,-6,19,-7,18,-6,18,0,0,-6,15,-5,14,-5,14,-4,11,-3,10,-3,8,-2,7,-2,4,-1,3,0,-1,0,-2,2,-4,4,-7,5,-9,6,-11,9,-15,11,-17,12,-19,15,-21,16,-22,20,-23,23,-24,25,-24,28,-26,31,-24,33,-24,0,0,10,-9,9,-9,7,-9,8,-9,7,-8,7,-8,6,-8,5,-9,5,-8,4,-9,4,-9,3,-9,2,-9,2,-9,2,-8,1,-9,1,-8,0,-7,-1,-8,-1,-8,-2,-9,-2,-8,-2,-8,-4,-8,-4,-9,-4,-9,0,0,-5,-8,-6,-9,-7,-8,-7,-8,-8,-9,-8,-9,-9,-9,-9,-9,-10,-9,-10,-9,-12,-10,-11,-11,-12,-11,-13,-12,-12,-12,-13,-13,-13,-12,-13,-14,-12,-14,-12,-15,-12,-16,-11,-17,-10,-17,-10,-17,-8,-18,-8,-19,0,0]"
CSI_DATA: 12,3,4,4,3,3,3,0,-38,-33,2066.178,2071.495,15.384,2242.252,2242.252,16.799,"[3,-14,2,-14,1,-15,3,-16,2,-14,2,-14,2,-14,2,-13,2,-13,2,-12,2,-13,1,-13,1,-12,1,-12,2,-11,0,-12,0,-10,0,-10,-1,-9,-1,-9,-1,-9,-2,-8,-2,-8,-3,-8,-3,-9,-4,-8,0,0,-5,-7,-6,-8,-6,-7,-6,-7,-7,-7,-8,-7,-7,-7,-7,-6,-8,-7,-9,-6,-10,-6,-10,-6,-11,-7,-12,-7,-12,-8,-13,-8,-13,-9,-13,-9,-12,-10,-11,-11,-11,-12,-11,-12,-10,-12,-11,-12,-9,-13,-8,-13,0,0,-1,-21,-2,-21,-4,-20,-2,-22,-2,-20,-2,-21,-2,-20,-2,-19,-2,-18,-3,-17,-2,-19,-3,-17,-3,-17,-3,-16,-3,-15,-4,-16,-4,-14,-4,-13,-5,-13,-5,-13,-4,-13,-5,-12,-5,-12,-6,-12,-6,-13,-6,-12,0,0,-7,-11,-6,-11,-7,-11,-7,-10,-7,-10,-7,-10,-7,-10,-7,-9,-7,-9,-7,-9,-8,-10,-7,-10,-7,-10,-7,-10,-7,-11,-8,-12,-7,-12,-7,-12,-6,-12,-5,-12,-4,-13,-3,-13,-2,-14,-2,-14,0,-14,1,-14,0,0]"
CSI_DATA: 13,6,4,4,3,3,3,0,-43,-30,2066.651,2071.968,307.821,2534.707,2534.707,309.254,"[-3,8,-1,8,0,6,1,6,1,5,2,5,2,2,3,1,3,1,3,-1,3,-1,3,-3,3,-3,4,-4,4,-5,3,-5,3,-6,2,-5,2,-6,3,-6,3,-6,3,-7,2,-6,2,-6,3,-7,3,-6,0,0,3,-6,3,-6,4,-7,5,-6,7,-7,7,-7,8,-6,9,-7,10,-7,11,-7,14,-8,14,-8,15,-9,17,-9,18,-9,20,-10,20,-10,21,-11,23,-11,23,-11,25,-11,25,-11,25,-12,26,-14,28,-13,28,-13,0,0,-8,15,-7,15,-4,14,-6,15,-5,14,-6,13,-5,13,-4,12,-4,12,-3,12,-3,12,-2,12,-1,11,-1,11,-1,11,0,11,1,9,1,9,2,9,2,9,2,9,3,8,3,8,5,7,5,8,6,7,0,0,7,7,7,6,9,6,9,6,10,6,10,6,11,6,12,6,12,6,13,6,15,6,14,7,15,7,16,7,16,8,17,9,17,9,17,10,16,11,16,12,16,14,15,13,15,14,15,14,13,16,12,17,0,0]"
CSI_DATA: 14,5,3,3,2,2,3,0,-31,-31,2065.245,2070.561,308.164,2581.73,2581.73,355.620,"[-2,24,-1,24,1,23,-2,26,-2,24,-3,24,-3,23,-3,22,-3,23,-2,21,-3,24,-2,23,-3,23,-3,22,-4,21,-2,22,-2,20,-3,20,-2,20,-4,20,-4,19,-3,19,-4,17,-1,18,-3,19,-2,18,0,0,-2,16,-2,17,-2,17,-1,15,-2,16,-2,15,-2,15,-2,14,-2,14,-2,13,-1,14,-2,12,-2,12,-1,11,-1,11,-1,11,-2,10,-2,10,-2,9,-2,8,-2,8,-2,7,-2,7,-1,6,-2,6,-1,5,0,0,-5,-16,-5,-15,-6,-15,-6,-16,-6,-16,-6,-16,-7,-16,-7,-15,-7,-16,-8,-15,-8,-17,-9,-17,-9,-17,-9,-17,-8,-17,-10,-18,-10,-17,-9,-17,-10,-17,-10,-18,-10,-19,-10,-18,-9,-19,-11,-18,-10,-20,-12,-20,0,0,-11,-20,-10,-20,-11,-21,-10,-20,-9,-20,-9,-21,-8,-20,-8,-20,-8,-20,-7,-19,-8,-20,-6,-19,-6,-18,-7,-18,-6,-18,-7,-18,-7,-17,-6,-17,-6,-16,-6,-16,-6,-16,-5,-15,-5,-15,-6,-15,-5,-15,-6,-15,0,0]"
CSI_DATA: 15,3,5,5,4,4,4,0,-38,-34,2806.172,2811.418,15.350,2982.254,2982.254,16.800,"[9,-6,9,-7,7,-7,9,-8,7,-7,8,-7,7,-7,6,-7,6,-7,5,-6,5,-7,5,-8,4,-7,4,-7,4,-7,3,-7,2,-7,1,-6,1,-7,0,-7,0,-7,-1,-7,0,-7,-2,-7,-2,-8,-3,-8,0,0,-4,-8,-4,-7,-5,-8,-5,-7,-6,-8,-6,-8,-7,-8,-7,-8,-8,-8,-8,-8,-10,-8,-9,-9,-10,-9,-11,-10,-11,-10,-12,-12,-12,-11,-12,-13,-11,-13,-10,-14,-10,-15,-9,-14,-9,-15,-10,-15,-8,-16,-7,-16,0,0,13,-9,13,-9,12,-10,13,-10,12,-9,12,-9,11,-9,10,-8,10,-8,9,-8,9,-9,8,-10,8,-9,7,-10,7,-9,6,-10,5,-10,5,-9,5,-10,5,-10,5,-10,4,-10,4,-9,3,-10,4,-11,3,-11,0,0,2,-10,3,-11,2,-11,2,-10,2,-11,2,-11,2,-11,2,-10,2,-11,2,-11,2,-12,2,-11,2,-11,3,-12,3,-11,4,-11,4,-12,5,-11,5,-11,6,-10,7,-9,7,-9,7,-9,8,-9,9,-7,9,-6,0,0]"
CSI_DATA: 16,6,5,5,4,4,4,0,-36,-32,2806.647,2811.893,307.902,3274.798,3274.798,309.344,"[-2,9,-2,9,-1,10,-1,12,-1,11,0,12,0,12,0,12,0,13,1,13,1,15,1,15,1,16,1,16,0,16,1,16,1,15,1,15,1,16,0,15,0,15,1,15,0,14,2,13,1,14,2,13,0,0,2,11,2,10,3,9,3,7,4,7,5,6,6,5,6,4,7,3,8,1,10,0,10,0,12,-1,14,-1,14,-2,17,-3,18,-3,19,-3,21,-2,21,-1,24,0,24,1,26,2,27,1,27,4,28,5,0,0,12,7,12,7,12,5,13,6,12,5,11,5,11,4,11,4,10,4,10,3,11,3,10,2,10,2,9,1,9,2,10,0,8,-1,8,-1,8,-1,8,-1,8,-2,7,-2,7,-3,6,-4,7,-4,6,-6,0,0,5,-7,6,-7,5,-8,5,-8,5,-9,5,-9,5,-10,5,-10,5,-11,6,-12,6,-13,6,-13,6,-13,7,-13,8,-14,8,-15,9,-14,10,-14,10,-14,11,-13,12,-12,12,-12,13,-11,13,-11,14,-9,14,-8,0,0]"
CSI_DATA: 17,5,4,4,3,3,4,0,-31,-33,2805.239,2810.485,308.155,3320.817,3320.817,355.363,"[14,18,14,18,15,16,15,19,13,17,13,18,13,17,12,16,11,17,12,15,13,17,13,16,12,16,12,15,11,16,12,15,11,14,10,13,11,14,11,13,10,14,11,13,9,12,11,11,11,13,12,12,0,0,11,10,10,11,12,11,11,9,11,10,11,10,10,10,10,10,10,10,9,9,10,9,9,9,9,8,9,9,7,8,8,8,8,8,7,8,6,7,6,7,5,7,5,6,4,6,5,5,4,5,4,4,0,0,-13,-8,-14,-7,-14,-6,-16,-7,-15,-7,-16,-7,-16,-6,-16,-6,-16,-6,-17,-5,-19,-6,-19,-6,-19,-6,-19,-6,-19,-8,-21,-7,-20,-7,-19,-8,-21,-7,-21,-9,-20,-9,-20,-9,-19,-10,-21,-8,-22,-10,-22,-10,0,0,-20,-11,-21,-12,-21,-11,-19,-11,-19,-12,-19,-13,-18,-13,-16,-12,-16,-12,-14,-12,-16,-11,-14,-11,-13,-10,-13,-9,-13,-9,-13,-8,-13,-7,-13,-6,-14,-7,-13,-6,-14,-6,-14,-6,-15,-6,-16,-5,-16,-7,-16,-7,0,0]"
CSI_DATA: 18,6,6,6,5,5,5,0,-38,-35,3546.650,3551.951,307.932,4014.910,4014.910,309.457,"[-1,13,0,14,2,14,2,16,2,14,3,16,4,15,5,15,5,16,6,15,7,18,7,17,8,18,8,18,7,19,9,18,8,17,7,17,9,17,8,17,6,18,7,17,6,16,8,15,6,16,7,15,0,0,6,12,5,11,5,11,5,9,4,8,4,7,4,6,3,4,3,3,3,1,3,-2,2,-3,2,-4,3,-7,2,-9,3,-11,4,-13,4,-15,6,-16,8,-17,9,-18,10,-19,12,-20,13,-22,16,-22,18,-22,0,0,-9,-21,-9,-20,-11,-20,-9,-21,-9,-20,-8,-19,-8,-18,-7,-18,-7,-17,-8,-16,-8,-18,-8,-16,-8,-16,-8,-15,-6,-15,-8,-15,-7,-13,-7,-12,-7,-11,-7,-12,-6,-11,-6,-10,-5,-9,-6,-8,-6,-8,-6,-7,0,0,-5,-5,-6,-4,-6,-3,-5,-2,-5,-1,-5,-1,-6,0,-5,1,-6,2,-6,3,-6,5,-6,4,-7,5,-7,6,-8,8,-9,8,-9,9,-10,9,-11,9,-12,9,-13,9,-13,9,-14,9,-15,9,-17,8,-17,7,0,0]"
